From Point,To Point,Distance (km),Fare (BDT),,,,,,,,,,,,,,,
Ansar Camp,Jatrabari,16.6,41,,,,,,,,,,,,,,,
Ansar Camp,Kalabagan,6.4,16,,,,,,,,,,,,,,,
Ansar Camp,Kallyanpur,2.3,10,,,,,,,,,,,,,,,
Ansar Camp,Katabon,8.3,20,,,,,,,,,,,,,,,
Ansar Camp,Kawran Bazar,7.3,18,,,,,,,,,,,,,,,
Ansar Camp,Keraniganj,14.5,36,,,,,,,,,,,,,,,
Ansar Camp,Naya Bazar,13,32,,,,,,,,,,,,,,,
Ansar Camp,Press Club,10.4,25,,,,,,,,,,,,,,,
Ansar Camp,Sayedabad,15.6,38,,,,,,,,,,,,,,,
Ansar Camp,Science Lab,7.2,18,,,,,,,,,,,,,,,
Ansar Camp,Shahbag,8.7,21,,,,,,,,,,,,,,,
Ansar Camp,Shukrabad,5.8,14,,,,,,,,,,,,,,,
Ansar Camp,Shyamoli,2.7,10,,,,,,,,,,,,,,,
Ansar Camp,Stadium,11.4,28,,,,,,,,,,,,,,,
Ansar Camp,Technical,0.9,10,,,,,,,,,,,,,,,
Arambagh,Ansar Camp,12.9,32,,,,,,,,,,,,,,,
Arambagh,Asad Gate,8.3,20,,,,,,,,,,,,,,,
Arambagh,Baitul Mukarram,2.2,10,,,,,,,,,,,,,,,
Arambagh,Bangla College,12.6,31,,,,,,,,,,,,,,,
Arambagh,Bashabo,4.7,12,,,,,,,,,,,,,,,
Arambagh,Bata Signal,5.3,13,,,,,,,,,,,,,,,
Arambagh,City College,5.9,14,,,,,,,,,,,,,,,
Arambagh,College Gate,9,22,,,,,,,,,,,,,,,
Arambagh,Dainik Bangla Moor,1.6,10,,,,,,,,,,,,,,,
Arambagh,Darussalam,11.6,28,,,,,,,,,,,,,,,
Arambagh,Dayagonj,2.6,10,,,,,,,,,,,,,,,
Arambagh,Dhanmondi 15,7.6,19,,,,,,,,,,,,,,,
Arambagh,Dhanmondi 27,7.9,19,,,,,,,,,,,,,,,
Arambagh,Dhanmondi 32,7.2,18,,,,,,,,,,,,,,,
Arambagh,Fantasy Kingdom,35.5,87,,,,,,,,,,,,,,,
Arambagh,GPO,2.3,10,,,,,,,,,,,,,,,
Arambagh,Gabtoli,12.5,31,,,,,,,,,,,,,,,
Arambagh,Gandaria,3.7,10,,,,,,,,,,,,,,,
Arambagh,Gulistan,1.8,10,,,,,,,,,,,,,,,
Arambagh,High Court,3.3,10,,,,,,,,,,,,,,,
Arambagh,Ittefaq Moor,1.2,10,,,,,,,,,,,,,,,
Arambagh,Jakir Hossain Road,10,25,,,,,,,,,,,,,,,
Arambagh,Jigatola,6.9,17,,,,,,,,,,,,,,,
Arambagh,Jurain,4.8,12,,,,,,,,,,,,,,,
Arambagh,Kakrail,2,10,,,,,,,,,,,,,,,
Arambagh,Kalabagan,6.9,17,,,,,,,,,,,,,,,
Arambagh,Kallyanpur,10.9,27,,,,,,,,,,,,,,,
Arambagh,Kamalapur,0.5,10,,,,,,,,,,,,,,,
Arambagh,Katabon,5.1,12,,,,,,,,,,,,,,,
Arambagh,Khilgaon,5.8,14,,,,,,,,,,,,,,,
Arambagh,Matsya Bhaban,3.6,10,,,,,,,,,,,,,,,
Arambagh,Mirpur 1,13.7,34,,,,,,,,,,,,,,,
Arambagh,Mirpur 10,13.6,33,,,,,,,,,,,,,,,
Arambagh,Mirpur 14,17.8,44,,,,,,,,,,,,,,,
Arambagh,Mirpur 2,15,37,,,,,,,,,,,,,,,
Arambagh,Mohammadpur,9.5,23,,,,,,,,,,,,,,,
Arambagh,Motijheel,0.6,10,,,,,,,,,,,,,,,
Arambagh,Mugda,3.8,10,,,,,,,,,,,,,,,
Arambagh,Paltan,2.4,10,,,,,,,,,,,,,,,
Arambagh,Postogola,5,12,,,,,,,,,,,,,,,
Arambagh,Press Club,2.9,10,,,,,,,,,,,,,,,
Arambagh,Salimullah Road,10.2,25,,,,,,,,,,,,,,,
Arambagh,Sayedabad,2.8,10,,,,,,,,,,,,,,,
Arambagh,Science Lab,5.8,14,,,,,,,,,,,,,,,
Arambagh,Shahbag,4.5,11,,,,,,,,,,,,,,,
Arambagh,Shankar,8.4,21,,,,,,,,,,,,,,,
Arambagh,Shishu Mela,9.9,24,,,,,,,,,,,,,,,
Arambagh,Shukrabad,7.5,18,,,,,,,,,,,,,,,
Arambagh,Shyamoli,10.2,25,,,,,,,,,,,,,,,
Arambagh,Star Kabab,6.2,15,,,,,,,,,,,,,,,
Arambagh,Tajmahal Road,10.5,26,,,,,,,,,,,,,,,
Arambagh,Technical,11.8,29,,,,,,,,,,,,,,,
Arambagh,Tikatuli,1.5,10,,,,,,,,,,,,,,,
Asad Gate,Abdullahpur,24.1,59,,,,,,,,,,,,,,,
Asad Gate,Airport,20.4,50,,,,,,,,,,,,,,,
